Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
67,01-01-17,6.64E+15,1,burnt garlic tonkotsu ramen
68,01-01-17,6.64E+15,1,burnt garlic tonkotsu ramen
75,01-01-17,6.28E+15,3,burnt garlic tonkotsu ramen
76,01-01-17,6.28E+15,3,burnt garlic tonkotsu ramen
115,01-01-17,1.74E+15,1,burnt garlic tonkotsu ramen
116,01-01-17,1.74E+15,1,burnt garlic tonkotsu ramen
117,01-01-17,3.92E+15,1,burnt garlic tonkotsu ramen
118,01-01-17,3.92E+15,1,burnt garlic tonkotsu ramen
119,01-01-17,2.56E+15,1,burnt garlic tonkotsu ramen
120,01-01-17,2.56E+15,1,burnt garlic tonkotsu ramen
129,01-01-17,3.28E+15,1,burnt garlic tonkotsu ramen
130,01-01-17,3.28E+15,1,burnt garlic tonkotsu ramen
201,01-03-17,5.26E+15,4,burnt garlic tonkotsu ramen
202,01-03-17,5.26E+15,4,burnt garlic tonkotsu ramen
213,01-03-17,1.33E+15,1,burnt garlic tonkotsu ramen
214,01-03-17,1.33E+15,1,burnt garlic tonkotsu ramen
231,01-03-17,2.38E+15,4,burnt garlic tonkotsu ramen
232,01-03-17,2.38E+15,4,burnt garlic tonkotsu ramen
239,01-03-17,4.33E+15,1,burnt garlic tonkotsu ramen
240,01-03-17,4.33E+15,1,burnt garlic tonkotsu ramen
241,01-03-17,2.97E+15,1,burnt garlic tonkotsu ramen
242,01-03-17,2.97E+15,1,burnt garlic tonkotsu ramen
323,01-03-17,8.23E+15,4,burnt garlic tonkotsu ramen
324,01-03-17,8.23E+15,4,burnt garlic tonkotsu ramen
337,01-03-17,6.16E+15,2,burnt garlic tonkotsu ramen
338,01-03-17,6.16E+15,2,burnt garlic tonkotsu ramen
355,01-04-17,6.63E+15,4,burnt garlic tonkotsu ramen
356,01-04-17,6.63E+15,4,burnt garlic tonkotsu ramen
373,01-04-17,2.25E+15,2,burnt garlic tonkotsu ramen
374,01-04-17,2.25E+15,2,burnt garlic tonkotsu ramen
423,01-04-17,6.12E+15,1,burnt garlic tonkotsu ramen
424,01-04-17,6.12E+15,1,burnt garlic tonkotsu ramen
441,01-04-17,8.25E+15,1,burnt garlic tonkotsu ramen
442,01-04-17,8.25E+15,1,burnt garlic tonkotsu ramen
483,01-05-17,2.22E+15,1,burnt garlic tonkotsu ramen
484,01-05-17,2.22E+15,1,burnt garlic tonkotsu ramen
521,01-05-17,5.74E+15,1,burnt garlic tonkotsu ramen
522,01-05-17,5.74E+15,1,burnt garlic tonkotsu ramen
525,01-05-17,5.37E+15,1,burnt garlic tonkotsu ramen
526,01-05-17,5.37E+15,1,burnt garlic tonkotsu ramen
545,01-05-17,7.84E+15,1,burnt garlic tonkotsu ramen
546,01-05-17,7.84E+15,1,burnt garlic tonkotsu ramen
575,01-05-17,7.48E+15,2,burnt garlic tonkotsu ramen
576,01-05-17,7.48E+15,2,burnt garlic tonkotsu ramen
579,01-05-17,4.83E+15,3,burnt garlic tonkotsu ramen
580,01-05-17,4.83E+15,3,burnt garlic tonkotsu ramen
613,01-05-17,1.76E+15,1,burnt garlic tonkotsu ramen
614,01-05-17,1.76E+15,1,burnt garlic tonkotsu ramen
659,01-06-17,9.62E+15,1,burnt garlic tonkotsu ramen
660,01-06-17,9.62E+15,1,burnt garlic tonkotsu ramen
673,01-06-17,6.43E+15,1,burnt garlic tonkotsu ramen
674,01-06-17,6.43E+15,1,burnt garlic tonkotsu ramen
719,01-06-17,7.38E+15,2,burnt garlic tonkotsu ramen
720,01-06-17,7.38E+15,2,burnt garlic tonkotsu ramen
727,01-06-17,9.37E+15,1,burnt garlic tonkotsu ramen
728,01-06-17,9.37E+15,1,burnt garlic tonkotsu ramen
799,01-06-17,4.40E+15,4,burnt garlic tonkotsu ramen
800,01-06-17,4.40E+15,4,burnt garlic tonkotsu ramen
803,01-06-17,2.16E+15,1,burnt garlic tonkotsu ramen
804,01-06-17,2.16E+15,1,burnt garlic tonkotsu ramen
811,01-06-17,5.49E+15,1,burnt garlic tonkotsu ramen
812,01-06-17,5.49E+15,1,burnt garlic tonkotsu ramen
815,01-06-17,8.27E+15,1,burnt garlic tonkotsu ramen
816,01-06-17,8.27E+15,1,burnt garlic tonkotsu ramen
829,01-06-17,3.53E+15,1,burnt garlic tonkotsu ramen
830,01-06-17,3.53E+15,1,burnt garlic tonkotsu ramen
835,01-07-17,4.99E+15,1,burnt garlic tonkotsu ramen
836,01-07-17,4.99E+15,1,burnt garlic tonkotsu ramen
855,01-08-17,2.12E+15,1,burnt garlic tonkotsu ramen
856,01-08-17,2.12E+15,1,burnt garlic tonkotsu ramen
881,01-08-17,6.47E+15,1,burnt garlic tonkotsu ramen
882,01-08-17,6.47E+15,1,burnt garlic tonkotsu ramen
885,01-08-17,8.12E+15,1,burnt garlic tonkotsu ramen
886,01-08-17,8.12E+15,1,burnt garlic tonkotsu ramen
945,01-09-17,7.31E+15,3,burnt garlic tonkotsu ramen
946,01-09-17,7.31E+15,3,burnt garlic tonkotsu ramen
959,01-09-17,2.45E+15,1,burnt garlic tonkotsu ramen
960,01-09-17,2.45E+15,1,burnt garlic tonkotsu ramen
967,01-09-17,3.95E+15,1,burnt garlic tonkotsu ramen
968,01-09-17,3.95E+15,1,burnt garlic tonkotsu ramen
1011,01-09-17,6.12E+15,1,burnt garlic tonkotsu ramen
1012,01-09-17,6.12E+15,1,burnt garlic tonkotsu ramen
1029,01-10-17,6.29E+15,1,burnt garlic tonkotsu ramen
1030,01-10-17,6.29E+15,1,burnt garlic tonkotsu ramen
1033,01-10-17,2.17E+15,1,burnt garlic tonkotsu ramen
1034,01-10-17,2.17E+15,1,burnt garlic tonkotsu ramen
